영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,좌표정보x(epsg5174),y(epsg5174)
유성노은,CGV,영업,대전/충청,대전시,유성구,대전광역시 유성구 지족동 905-4,"대전광역시 유성구 노은로 144, 6-8층 (지족동, 노은타운)",228510.5716,319123.8319
천안,CGV,영업,대전/충청,충청남도,천안시,충청남도 천안시 동남구 대흥동 102-10 오렌지씨네스타 5층,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",213170.6052,367376.0817
천안터미널,CGV,영업,대전/충청,충청남도,천안시,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),213910.8506,368774.0876
천안펜타포트,CGV,영업,대전/충청,충청남도,천안시,충청남도 천안시 서북구 불당동 1289,"충청남도 천안시 서북구 공원로 196, 6층 (불당동)",208976.4765,366326.6344
청주(서문),CGV,영업,대전/충청,충청북도,청주시,충청북도 청주시 상당구 서문동 29-2,충청북도 청주시 상당구 상당로81번길 63 (서문동) CGV 청주(서문),243551.6,348627.2
청주지웰시티,CGV,영업,대전/충청,충청북도,청주시,충청북도 청주시 흥덕구 복대동 288-14 3층,"충청북도 청주시 흥덕구 대농로 47-1, 3층 (복대동)",238310.2022,349177.6459
청주터미널,CGV,영업,대전/충청,충청북도,청주시,충청북도 청주시 흥덕구 가경동 1416-3 드림플러스 8층,"충청북도 청주시 흥덕구 2순환로 1233, 8층 (가경동)",238501.3394,347307.9521
충북혁신,CGV,영업,대전/충청,충청북도,음성군,충청북도 음성군 맹동면 동성리 500번지,"충청북도 음성군 맹동면 대하1길 10, 5층",248107.0984,378637.7135
충주교현,CGV,영업,대전/충청,충청북도,충주시,충청북도 충주시 교현동 539-1,"충청북도 충주시 국원대로 107, 한스타워 5~8층 (교현동)",282540.7147,387001.5008
홍성,CGV,영업,대전/충청,충청남도,홍성군,충청남도 홍성군 홍성읍 고암리 1042,충청남도 홍성군 홍성읍 조양로247번길 9,170963.8162,344485.5651
대구,CGV,영업,대구,대구시,달서구,대구광역시 달서구 월성동 1846,대구광역시 달서구 조암로 29 (월성동),337925.1213,259346.8508
대구수성,CGV,영업,대구,대구시,수성구,대구광역시 수성구 범물동 1273 동아백화점 수성점 9층,"대구광역시 수성구 지범로 191 (범물동,동아백화점 수성점 9층)",348194.4994,259144.5193
대구스타디움,CGV,영업,대구,대구시,수성구,대구광역시 수성구 대흥동 504 B2F,대구광역시 수성구 유니버시아드로 140 (대흥동),352335.045,260158.7502
대구아카데미,CGV,영업,대구,대구시,중구,대구광역시 중구 남일동 65-1,대구광역시 중구 중앙대로 412 (남일동),343908.6834,264477.417
대구연경,CGV,영업,대구,대구시,북구,대구광역시 북구 연경동 1078-2,"대구광역시 북구 동화천로 290, 5층 (연경동)",346360.7078,272433.9057
대구월성,CGV,영업,대구,대구시,달서구,대구광역시 달서구 월성동 1846,대구광역시 달서구 조암로 29 (월성동),337925.1213,259346.8508
대구죽전,CGV,영업,대구,대구시,달서구,대구광역시 달서구 죽전동 273-27,"대구광역시 달서구 달구벌대로 1551, 골든타워 8~11층 (죽전동)",338717.7142,262242.3856
대구한일,CGV,영업,대구,대구시,중구,대구광역시 중구 동성로2가 88-22,대구광역시 중구 동성로 39 (동성로2가),344009.2409,264537.6112
대구현대,CGV,영업,대구,대구시,중구,대구광역시 중구 계산동2가 200,대구광역시 중구 달구벌대로 2077 (계산동2가),343588.7356,264119.0108
대연,CGV,영업,부산/울산,부산시,남구,부산광역시 남구 대연동 73-15 스파크,"부산광역시 남구 수영로 305, 스파크 8층 (대연동)",391258.8699,184039.54
동래,CGV,영업,부산/울산,부산시,동래구,부산광역시 동래구 온천동 153-8 SKHUBSKY,"부산광역시 동래구 중앙대로 1523, SKHUBSKY 6층 (온천동)",389816.233,193329.6059
부산명지,CGV,영업,부산/울산,부산시,강서구,부산광역시 강서구 명지동 3586-4,부산광역시 강서구 명지국제8로 10번길 38 명지플러스시네마 8층 CGV부산명지,373575.8,179227.4
서면,CGV,영업,부산/울산,부산시,부산진구,부산광역시 부산진구 부전동 227-2 삼정타워 11층,"부산광역시 부산진구 중앙대로 672, 삼정타워 11층 (부전동)",387608.0142,185703.079
서면삼정타워,CGV,영업,부산/울산,부산시,부산진구,부산광역시 부산진구 부전동 227-2 삼정타워 11층,"부산광역시 부산진구 중앙대로 672, 삼정타워 11층 (부전동)",387608.0142,185703.079
서면상상마당,CGV,영업,부산/울산,부산시,부산진구,부산광역시 부산진구 부전동 521-1 KT&G 상상마당부산,"부산광역시 부산진구 서면로 39, KT&G 상상마당부산 8~12층 (부전동)",387394.968,185837.3166
센텀시티,CGV,영업,부산/울산,부산시,해운대구,부산광역시 해운대구 우동 1495 신세계백화점 8층,"부산광역시 해운대구 센텀남대로 35 (우동,신세계백화점 8층)",393952.2645,187602.9332
씨네드쉐프 센텀,CGV,영업,부산/울산,부산시,해운대구,부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,부산광역시 해운대구 센텀남대로 35 (우동),394089,187936
아시아드,CGV,영업,부산/울산,부산시,연제구,부산광역시 연제구 거제동 1208,부산광역시 연제구 종합운동장로 7 (거제동),387686.1949,189911.4305
울산삼산,CGV,영업,부산/울산,울산시,남구,울산광역시 남구 삼산동 1569-1 업스퀘어 6층,"울산광역시 남구 화합로 185, 6층 (삼산동, 업스퀘어)",412037.5114,229430.4553
울산성남,CGV,영업,부산/울산,울산시,중구,울산광역시 중구 성남동 3-6,"울산광역시 중구 중앙길 145, 크레존 5층 (성남동)",410411.0053,230976.5586
울산신천,CGV,영업,부산/울산,울산시,북구,울산광역시 북구 신천동 51 신천CGV LEEPLEX,"""울산광역시 북구 매산1로 17, 신천CGV LEEPLEX 5,6층 (신천동)""",413327.4826,239791.1942
울산진장,CGV,영업,부산/울산,울산시,북구,울산광역시 북구 진장동 120-9 CGV,"울산광역시 북구 진장유통로 51-10, CGV (진장동)",413570,233538
정관,CGV,영업,부산/울산,부산시,기장군,부산광역시 기장군 정관읍 매학리 717-6,부산광역시 기장군 정관읍 정관중앙로 45,398024.2448,204621.6557
하단아트몰링,CGV,영업,부산/울산,부산시,사하구,부산광역시 사하구 하단동 526-6,"부산광역시 사하구 낙동남로 1413, 12층 (하단동, 아트몰링)",379212.0797,180390.069
해운대,CGV,영업,부산/울산,부산시,해운대구,부산광역시 해운대구 우동 539-10 라뮤에뜨 2층,"부산광역시 해운대구 해운대로 620 (우동, 해운대 라뮤에뜨)",396596.4435,186999.8845
Drive In 영도,CGV,영업,부산/울산,부산시,영도구,부산광역시 영도구 동삼동 1009,부산광역시 영도구 태종로833번길 55 (동삼동) CGV DRIVE IN 영도,389989.6806,175680.6599
거제,CGV,영업,경상,경상남도,거제시,경상남도 거제시 장평동 1211,경상남도 거제시 장평로 12 (장평동),347704.2059,155893.0016
경산,CGV,영업,경상,경상북도,경산시,경상북도 경산시 중방동 897,경상북도 경산시 대학로28길 6-5 (중방동),356853.4919,260604.6759
고성,CGV,영업,경상,경상남도,고성군,경상남도 고성군 고성읍 서외리 77-1 고성군 작은영화관,"경상남도 고성군 고성읍 송학로 58, 고성군 작은영화관",320083.2789,165018.4113
구미,CGV,영업,경상,경상북도,구미시,경상북도 구미시 원평동 68-1,경상북도 구미시 구미중앙로 44 (원평동),319433.1401,292986.7904
김천율곡,CGV,영업,경상,경상북도,김천시,경상북도 김천시 율곡동 1123번지,"경상북도 김천시 혁신2로 15 (율곡동, 더스퀘어)",306479.0645,291131.5889
김해,CGV,영업,경상,경상남도,김해시,경상남도 김해시 내동 1131-4 휴앤락몰,"경상남도 김해시 내외중앙로 137, 4층 (내동, 휴앤락몰)",370012.373,195252.4469
김해율하,CGV,영업,경상,경상남도,김해시,경상남도 김해시 율하동 1347-2번지,경상남도 김해시 율하2로 111 (율하동),365144.7853,187151.1233
김해장유,CGV,영업,경상,경상남도,김해시,경상남도 김해시 대청동 302-5,경상남도 김해시 삼문로 12 (대청동),364053.3354,189566.1012
마산,CGV,영업,경상,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구 합성동 126-4,경상남도 창원시 마산회원구 3·15대로 736 (합성동),343966.6217,194288.6445
북포항,CGV,영업,경상,경상북도,포항시,경상북도 포항시 북구 덕산동 235-4,경상북도 포항시 북구 서동로 93 (덕산동),413362.4224,284852.5835
안동,CGV,영업,경상,경상북도,안동시,경상북도 안동시 용상동 1426-1번지,경상북도 안동시 경동로 841 (용상동),356541.0156,341426.3052
양산삼호,CGV,영업,경상,경상남도,양산시,경상남도 양산시 삼호동 1010-3번지,"경상남도 양산시 삼호1길 42, 5,6층 (삼호동)",396840.5494,214866.5062
진주혁신,CGV,영업,경상,경상남도,진주시,경상남도 진주시 충무공동 225-1,"경상남도 진주시 에나로127번길 30, 어반스퀘어 4,5층 (충무공동)",304128.1408,187423.9961
창원더시티,CGV,영업,경상,경상남도,창원시,"경상남도 창원시 성산구 대원동 121 W224,W306,W401","경상남도 창원시 성산구 원이대로 320 (대원동, W224,W306,W401)",350381.455,194669.2038
창원상남,CGV,영업,경상,경상남도,창원시 성산구,경상남도 창원시 성산구 상남동 77-4,"경상남도 창원시 성산구 중앙대로100번길 13, 창원 엠포리움 5,6층 (상남동)",353008.424,192790.4061
광양 엘에프스퀘어,CGV,영업,광주/전라/제주,전라남도,광양시,전라남도 광양시 광양읍 덕례리 702,전라남도 광양시 광양읍 순광로 466,251752.2,163151.3
광주금남로,CGV,영업,광주/전라/제주,광주시,동구,광주광역시 동구 불로동 1-21,광주광역시 동구 중앙로160번길 16-7 (불로동),192150.4993,183089.569
광주상무,CGV,영업,광주/전라/제주,광주시,서구,광주광역시 서구 치평동 1218-1,광주광역시 서구 시청로 67 (치평동),186350.8164,183915.8701
광주용봉,CGV,영업,광주/전라/제주,광주시,북구,광주광역시 북구 용봉동 17-1,광주광역시 북구 문화소통로 170 (용봉동),191975.4185,187025.3545
광주첨단,CGV,영업,광주/전라/제주,광주시,광산구,광주광역시 광산구 쌍암동 694-35,광주광역시 광산구 첨단중앙로182번길 8,185625.5,191643
광주충장로,CGV,영업,광주/전라/제주,광주시,동구,광주광역시 동구 충장로4가 29-2,"광주광역시 동구 중앙로 163, 11층 (충장로4가, NC 웨이브 충장점)",192005.764,183296.8613
광주하남,CGV,영업,광주/전라/제주,광주시,광산구,광주광역시 광산구 하남동 832 TERRACE56  PICNICMALL,"광주광역시 광산구 용아로400번길 30, TERRACE56  PICNICMALL 2층 (하남동)",182301.7727,186588.2421
나주,CGV,영업,광주/전라/제주,전라남도,나주시,전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층,전라남도 나주시 상야4길 16-16,181036.5362,169457.8414
목포,CGV,영업,광주/전라/제주,전라남도,목포시,전라남도 목포시 상동 1129-6,전라남도 목포시 원형동로 53 (상동),148058.3144,144672.7938
목포평화광장,CGV,영업,광주/전라/제주,전라남도,목포시,전라남도 목포시 상동 1129-6,전라남도 목포시 원형동로 53 (상동),148058.3144,144672.7938
서전주,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 완산구 효자동3가 1531-2 M-SQUARE,전북특별자치도 전주시 완산구 홍산로 260,209620,257725
순천신대,CGV,영업,광주/전라/제주,전라남도,순천시,전라남도 순천시 해룡면 신대리 2139,전라남도 순천시 해룡면 해광로 199,250396.8735,158714.5191
여수웅천,CGV,영업,광주/전라/제주,전라남도,여수시,전라남도 여수시 웅천동 1720-3,전라남도 여수시 웅천로 19-35 (웅천동),262077.5781,139123.0121
익산,CGV,영업,광주/전라/제주,전라북도,익산시 ,전북특별자치도 익산시 영등동 149-1,전북특별자치도 익산시 무왕로 1052,197633.6,273389.2
전주고사,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 완산구 고사동 355-1,전북특별자치도 전주시 완산구 전주객사3길 72,212828.4,258124.4
전주에코시티,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 덕진구 송천동2가 1329-1 로마네시티 현대썬앤빌 전주,전북특별자치도 전주시 덕진구 세병2길 10,211256,263989
전주효자,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 완산구 효자동1가 434,전북특별자치도 전주시 완산구 용머리로 45,210484.5,256616
정읍,CGV,영업,광주/전라/제주,전라북도,정읍시,전북특별자치도 정읍시 수성동 525-1,전북특별자치도 정읍시 중앙1길 1,186366,230328
제주,CGV,영업,광주/전라/제주,제주도,제주시,제주특별자치도 제주시 이도이동 1776-3,제주특별자치도 제주시 서광로 288 (이도이동),156002.3972,507.5310548
제주노형,CGV,영업,광주/전라/제주,제주도,제주시,제주특별자치도 제주시 노형동 1288-5,제주특별자치도 제주시 노형로 407 (노형동),151441.4474,-1047.378627
가산디지털,롯데시네마,영업,서울,서울시,금천구,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",190119.4634,441716.6846
가양,롯데시네마,영업,서울,서울시,강서구,"서울특별시 강서구 등촌동 73-1 4,5,6층","서울특별시 강서구 양천로 476, 4,5,6층 (등촌동)",186966.0362,451047.2873
강동,롯데시네마,영업,서울,서울시,강동구,서울특별시 강동구 성내동 44-1번지,서울특별시 강동구 천호옛길 85 (성내동),211008.0193,448270.5004
건대입구,롯데시네마,영업,서울,서울시,광진구,서울특별시 광진구 자양동 227-7 더샵스타시티,"서울특별시 광진구 아차산로 272, 더샵스타시티 (자양동)",206349.675,448396.9397
김포공항,롯데시네마,영업,서울,서울시,강서구,서울특별시 강서구 방화동 886 스카이파크,"서울특별시 강서구 하늘길 38 (방화동, 스카이파크)",182524.8238,451438.2509
노원,롯데시네마,영업,서울,서울시,노원구,서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),205320.2848,461419.8818
도곡,롯데시네마,영업,서울,서울시,강남구,서울특별시 강남구 도곡동 174-3,서울특별시 강남구 남부순환로 2753 (도곡동),204098.596,442807.3172
독산,롯데시네마,영업,서울,서울시,금천구,서울특별시 금천구 독산동 291-5,서울특별시 금천구 시흥대로 399 (독산동),190858.6495,440808.5413
서울대입구,롯데시네마,영업,서울,서울시,관악구,서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",195703.0437,442094.0858
수락산,롯데시네마,영업,서울,서울시,노원구,서울특별시 노원구 상계동 1132-35,서울특별시 노원구 동일로 1660 3층,,
수유,롯데시네마,영업,서울,서울시,강북구,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),202032.7576,459259.444
신대방(구로디지털역),롯데시네마,영업,서울,서울시,동작구,서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",191548.5358,442684.5314
신도림,롯데시네마,영업,서울,서울시,구로구,서울특별시 구로구 신도림동 692 디큐브시티 제타워동 7~8층 일부,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티 제타워동 7~8층 일부)",190107.0454,445157.6264
신림,롯데시네마,영업,서울,서울시,관악구,서울특별시 관악구 신림동 1641-2 14층,"서울특별시 관악구 신림로 330 (신림동,14층)",193754.4274,442407.2012
에비뉴엘(명동),롯데시네마,영업,서울,서울시,중구,서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",198333.4709,451313.4129
영등포,롯데시네마,영업,서울,서울시,영등포구,서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",191741.3458,445970.3076
용산,롯데시네마,영업,서울,서울시,용산구,서울특별시 용산구 한강로3가 16-9 4~5층,"서울특별시 용산구 청파로 74, 4~5층 (한강로3가)",196370.7464,447841.6988
월드타워,롯데시네마,영업,서울,서울시,송파구,서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",209074.9008,445657.8093
은평(롯데몰),롯데시네마,영업,서울,서울시,은평구,서울특별시 은평구 진관동 63,서울특별시 은평구 통일로 1050 (진관동),192694.9237,459461.2361
중랑,롯데시네마,영업,서울,서울시,중랑구,서울특별시 중랑구 묵동 234-1,서울특별시 중랑구 동일로 951 (묵동),206641.2692,456981.0858
청량리,롯데시네마,영업,서울,서울시,동대문구,"서울특별시 동대문구 전농동 591-53 청량리민자역사 8층,9층","서울특별시 동대문구 왕산로 214, 8층,9층 (전농동, 청량리민자역사)",204081.2821,453187.3952
합정,롯데시네마,영업,서울,서울시,마포구,서울특별시 마포구 서교동 490 메세나폴리스 2층,"서울특별시 마포구 양화로 45, 2층 (서교동, 메세나폴리스)",192311.6426,449855.6439
홍대입구,롯데시네마,영업,서울,서울시,마포구,서울특별시 마포구 동교동 166-6,서울특별시 마포구 양화로 176 (동교동),193330.7141,450564.5132
광교,롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 영통구 이의동 1338,경기도 수원시 영통구 도청로 10 (이의동),204888.8556,420476.3916
광명(광명사거리),롯데시네마,영업,경기/인천,경기도,광명시,"경기도 광명시 광명동 150-19 크로앙스 7,8층","경기도 광명시 오리로 970, 7,8층 (광명동, 크로앙스)",187160.8742,441928.3533
광명아울렛,롯데시네마,영업,경기/인천,경기도,광명시,경기도 광명시 일직동 500,"경기도 광명시 일직로 17, 6,7층 (일직동)",189614.4451,435789.264
구리아울렛,롯데시네마,영업,경기/인천,경기도,구리시,경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛,"경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)",212338.5166,456623.1791
동탄,롯데시네마,영업,경기/인천,경기도,화성시,경기도 화성시 오산동 967-157,"경기도 화성시 동탄역로 160, 7층 (오산동)",208569.6424,410949.2635
라페스타,롯데시네마,영업,경기/인천,경기도,고양시,경기도 고양시 일산동구 장항동 764 라페스타C,"경기도 고양시 일산동구 무궁화로 32-34, 라페스타C 3층 (장항동)",179511.6963,462156.7491
마석,롯데시네마,영업,경기/인천,경기도,남양주시,경기도 남양주시 화도읍 마석우리 255-24,경기도 남양주시 화도읍 경춘로 1992,227234.545,460930.696
별내,롯데시네마,영업,경기/인천,경기도,남양주시,경기도 남양주시 별내동 1005,"경기도 남양주시 별내중앙로 10, 지하 2층 (별내동)",211165.1672,460284.288
병점,롯데시네마,영업,경기/인천,경기도,화성시,경기도 화성시 병점동 844-1 씨네샤르망,"경기도 화성시 효행로 1052, 씨네샤르망 (병점동)",203710.058,412437.8082
부천(신중동역),롯데시네마,영업,경기/인천,경기도,부천시,경기도 부천시 원미구 중동 1141-2 8층~14층,"경기도 부천시 원미구 길주로 280 (중동, 프리머스 부천타워)",179874.935,444538.5593
부평,롯데시네마,영업,경기/인천,인천시,부평구,인천광역시 부평구 갈산동 94,"인천광역시 부평구 주부토로 236, B동 (갈산동)",175822.3041,445934.8107
부평갈산,롯데시네마,영업,경기/인천,인천시,부평구,인천광역시 부평구 갈산동 94,"인천광역시 부평구 주부토로 236, B동 (갈산동)",175822.3041,445934.8107
부평역사,롯데시네마,영업,경기/인천,인천시,부평구,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16 (부평동),175405.1137,443089.591
북수원(천천동),롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 장안구 천천동 516,"경기도 수원시 장안구 천천로 100, 3층 (천천동)",198520.4175,422075.1568
산본피트인,롯데시네마,영업,경기/인천,경기도,군포시,경기도 군포시 산본동 1145-6 10층,"경기도 군포시 번영로 485, 10층 (산본동)",193789.4107,428419.5783
서수원,롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 권선구 금곡동 1114-1 리더스 빌딩 10층호,"경기도 수원시 권선구 금곡로 219, 리더스 빌딩 10층 (금곡동)",195858.1535,419228.5768
