브랜드,특별관이름,영화관이름
CGV,SCREENX,인천 
CGV,SCREENX,오리
CGV,SCREENX,서면
CGV,SCREENX,구로
CGV,SCREENX,용산아이파크몰
CGV,SCREENX,부천
CGV,SCREENX,상봉
CGV,SCREENX,평택
CGV,SCREENX,상봉일산
CGV,SCREENX,강남
CGV,SCREENX,왕십리
CGV,SCREENX,센텀시티
CGV,SCREENX,천안펜타포트
CGV,SCREENX,여의도
CGV,SCREENX,의정부
CGV,SCREENX,대전터미널
CGV,SCREENX,울산삼산
CGV,SCREENX,신촌아트레온
CGV,SCREENX,아시아드
CGV,SCREENX,판교
CGV,SCREENX,천호
CGV,SCREENX,안산
CGV,SCREENX,세종
CGV,SCREENX,등촌
CGV,SCREENX,울산진창
CGV,SCREENX,동탄역
CGV,SCREENX,고덕강일
CGV,4DX,강변
CGV,4DX,인천
CGV,4DX,서면
CGV,4DX,대전
CGV,4DX,용산아이파크몰
CGV,4DX,부천
CGV,4DX,김해
CGV,4DX,동수원
CGV,4DX,계양
CGV,4DX,상봉
CGV,4DX,평택
CGV,4DX,일산
CGV,4DX,신세계경기
CGV,4DX,영등포
CGV,4DX,왕십리
CGV,4DX,센텀시티
CGV,4DX,청담씨네시티
CGV,4DX,대구스타디움
CGV,4DX,천안펜타포트
CGV,4DX,여의도
CGV,4DX,대전터미널
CGV,4DX,울산삼산
CGV,4DX,중계
CGV,4DX,청주지웰시티
CGV,4DX,신촌아트레온
CGV,4DX,아시아드
CGV,4DX,판교
CGV,4DX,안산
CGV,4DX,전주고사
CGV,4DX,광주첨단
CGV,4DX,대구죽전
CGV,4DX,광교
CGV,4DX,동탄역
CGV,4DX,방학
CGV,4DX,연남
CGV,4DX,천안터미널
CGV,4DX,제주
CGV,4DX,대구
CGV,4DX,고덕강일
CGV,아이맥스,인천
CGV,아이맥스,서면
CGV,아이맥스,대전
CGV,아이맥스,용산아이파크몰
CGV,아이맥스,압구정
CGV,아이맥스,평택
CGV,아이맥스,일산
CGV,아이맥스,영등포
CGV,아이맥스,춘천
CGV,아이맥스,왕십리
CGV,아이맥스,창원더시티
CGV,아이맥스,센텀시티
CGV,아이맥스,동탄
CGV,아이맥스,천안펜타포트
CGV,아이맥스,대전터미널
CGV,아이맥스,울산삼산
CGV,아이맥스,소풍
CGV,아이맥스,전주효자
CGV,아이맥스,판교
CGV,아이맥스,청주(서문)
CGV,아이맥스,광교
CGV,아이맥스,순천신대
CGV,아이맥스,천안터미널
CGV,아이맥스,대구
롯데시네마,수퍼플렉스,월드타워
롯데시네마,수퍼플렉스,수지
롯데시네마,수퍼플렉스,원주무실
롯데시네마,수퍼플렉스,동탄
롯데시네마,수퍼플렉스,파주운정
롯데시네마,수퍼플렉스,은평(롯데몰)
롯데시네마,수퍼플렉스,청주용암
롯데시네마,수퍼플렉스,광명아울렛
롯데시네마,수퍼플렉스,상인
롯데시네마,수퍼플렉스,광복
롯데시네마,수퍼플렉스,수원(수원역)
롯데시네마,샤롯데,월드타워
롯데시네마,샤롯데,동탄
롯데시네마,샤롯데,건대입구
롯데시네마,샤롯데,에비뉴엘(명동)
롯데시네마,샤롯데,김포공항
롯데시네마,샤롯데,안산
롯데시네마,샤롯데,평촌(범계역)
롯데시네마,샤롯데,광주(백화점)
롯데시네마,샤롯데,광복
롯데시네마,샤롯데,센텀시티
롯데시네마,광음시네마,월드타워
롯데시네마,광음시네마,신림
롯데시네마,광음시네마,노원
롯데시네마,광음시네마,청량리
롯데시네마,광음시네마,부산본점
롯데시네마,광음시네마,평촌(범계역)
롯데시네마,광음시네마,홍대입구
롯데시네마,광음시네마,김포공항
롯데시네마,광음시네마,수원(수원역)
롯데시네마,광음시네마,대전센트럴
롯데시네마,광음시네마,동성로
메가박스,DOLBY CINEMA,남양주현대아울렛스페이스원
메가박스,DOLBY CINEMA,대구신세계(동대구)
메가박스,DOLBY CINEMA,대전신세계아트앤사이언스
메가박스,DOLBY CINEMA,송도(트리플스트리트)
메가박스,DOLBY CINEMA,수원ak플라자(수원역)
메가박스,DOLBY CINEMA,안성스타필드
메가박스,DOLBY CINEMA,코엑스
메가박스,DOLBY CINEMA,하남스타필드
메가박스,MEGA | MX4D,구의이스트폴
메가박스,MEGA | MX4D,목동
메가박스,MEGA | MX4D,청주터미널
메가박스,MEGA | DOLBY,고양스타필드
메가박스,MEGA | DOLBY,대전현대아울렛
메가박스,MEGA | DOLBY,상암월드컵경기장
메가박스,MEGA | DOLBY,성수
메가박스,MEGA | DOLBY,수원스타필드
메가박스,MEGA | DOLBY,원주혁신
메가박스,MEGA | DOLBY,전주혁신
메가박스,MEGA | DOLBY,충주연수
메가박스,MEGA | DOLBY,포항